cuisine,month,order_count,total_revenue,avg_revenue
Fast Food,2026-01-02,1,440,440
Fast Food,2026-01-14,1,918,918
Fast Food,2026-01-15,1,723,723
Fast Food,2026-01-16,1,997,997
Fast Food,2026-01-17,1,1849,1849
Fast Food,2026-01-18,4,4142,1035.5
Fast Food,2026-01-25,1,1430,1430
Fast Food,2026-02-03,2,2419,1209.5
Fast Food,2026-02-09,1,2125,2125
Fast Food,2026-02-19,1,1036,1036
Fast Food,2026-02-26,1,697,697
Fast Food,2026-03-05,2,1289,644.5
Fast Food,2026-03-06,1,485,485
Fast Food,2026-03-11,1,2199,2199
Fast Food,2026-03-13,1,2044,2044
Fast Food,2026-03-14,1,1182,1182
Fast Food,2026-03-18,1,741,741
Fast Food,2026-03-28,1,1806,1806
Fast Food,2026-03-30,1,749,749
Fast Food,2026-04-04,1,1916,1916
Fast Food,2026-04-06,1,1188,1188
Fast Food,2026-04-16,1,2205,2205
Fast Food,2026-04-17,1,2432,2432
Fast Food,2026-04-18,1,2354,2354
Fast Food,2026-04-19,1,620,620
Fast Food,2026-04-20,1,2260,2260
Fast Food,2026-04-27,1,1669,1669
Fast Food,2026-05-05,2,2066,1033
Fast Food,2026-05-08,1,2270,2270
Fast Food,2026-05-12,1,154,154
Fast Food,2026-05-14,1,1708,1708
Fast Food,2026-05-27,1,2348,2348
Fast Food,2026-06-15,1,408,408
Fast Food,2026-06-17,1,2098,2098
Fast Food,2026-06-28,1,1722,1722
Fast Food,2026-06-30,1,434,434
Italian,2026-01-21,1,1716,1716
Italian,2026-02-07,1,1142,1142
Italian,2026-04-03,1,2233,2233
Italian,2026-04-07,1,478,478
Italian,2026-04-12,1,962,962
Italian,2026-04-23,1,328,328
Italian,2026-04-24,1,509,509
Italian,2026-05-15,1,1455,1455
Italian,2026-06-07,1,2481,2481
Italian,2026-06-10,1,1899,1899
Italian,2026-06-18,1,1532,1532
North Indian,2026-01-02,1,987,987
North Indian,2026-01-06,1,1771,1771
North Indian,2026-01-09,3,4814,1604.666667
North Indian,2026-01-10,2,2283,1141.5
North Indian,2026-01-11,1,1594,1594
North Indian,2026-01-12,3,4130,1376.666667
North Indian,2026-01-13,1,2325,2325
North Indian,2026-01-14,1,669,669
North Indian,2026-01-16,1,634,634
North Indian,2026-01-18,1,2083,2083
North Indian,2026-01-19,3,3132,1044
North Indian,2026-01-20,2,4313,2156.5
North Indian,2026-01-28,1,1891,1891
North Indian,2026-01-29,1,2197,2197
North Indian,2026-01-30,2,2210,1105
North Indian,2026-01-31,1,2435,2435
North Indian,2026-02-02,2,3537,1768.5
North Indian,2026-02-04,1,2053,2053
North Indian,2026-02-05,2,1757,878.5
North Indian,2026-02-06,1,546,546
North Indian,2026-02-08,2,2740,1370
North Indian,2026-02-09,1,927,927
North Indian,2026-02-10,1,1950,1950
North Indian,2026-02-11,2,4002,2001
North Indian,2026-02-12,2,3516,1758
North Indian,2026-02-13,1,497,497
North Indian,2026-02-14,2,3010,1505
North Indian,2026-02-19,2,2088,1044
North Indian,2026-02-20,1,2406,2406
North Indian,2026-02-21,1,652,652
North Indian,2026-02-22,1,1502,1502
North Indian,2026-02-24,1,2358,2358
North Indian,2026-02-26,1,1806,1806
North Indian,2026-02-28,2,3472,1736
North Indian,2026-03-03,1,1031,1031
North Indian,2026-03-04,3,4081,1360.333333
North Indian,2026-03-05,1,966,966
North Indian,2026-03-07,1,1033,1033
North Indian,2026-03-08,1,1977,1977
North Indian,2026-03-10,1,802,802
North Indian,2026-03-11,1,939,939
North Indian,2026-03-12,1,380,380
North Indian,2026-03-15,6,7079,1179.833333
North Indian,2026-03-17,1,564,564
North Indian,2026-03-20,1,2187,2187
North Indian,2026-03-22,1,384,384
North Indian,2026-03-24,2,1889,944.5
North Indian,2026-03-28,2,857,428.5
North Indian,2026-03-30,1,1375,1375
North Indian,2026-03-31,1,259,259
North Indian,2026-04-01,1,2386,2386
North Indian,2026-04-02,1,1124,1124
North Indian,2026-04-05,2,3499,1749.5
North Indian,2026-04-07,1,903,903
North Indian,2026-04-08,1,2209,2209
North Indian,2026-04-09,1,1114,1114
North Indian,2026-04-11,1,2461,2461
North Indian,2026-04-12,1,1192,1192
North Indian,2026-04-13,2,2255,1127.5
North Indian,2026-04-17,1,1268,1268
North Indian,2026-04-21,1,1470,1470
North Indian,2026-04-22,1,797,797
North Indian,2026-04-23,3,4042,1347.333333
North Indian,2026-04-25,1,1108,1108
North Indian,2026-04-26,2,2795,1397.5
North Indian,2026-04-27,4,5916,1479
North Indian,2026-04-28,1,1567,1567
North Indian,2026-04-30,2,3262,1631
North Indian,2026-05-01,1,1061,1061
North Indian,2026-05-02,1,1986,1986
North Indian,2026-05-07,3,2959,986.3333333
North Indian,2026-05-08,1,2384,2384
North Indian,2026-05-10,1,2151,2151
North Indian,2026-05-12,1,753,753
North Indian,2026-05-14,1,2134,2134
North Indian,2026-05-15,1,1693,1693
North Indian,2026-05-16,1,1837,1837
North Indian,2026-05-18,1,1023,1023
North Indian,2026-05-22,4,4711,1177.75
North Indian,2026-05-25,2,1763,881.5
North Indian,2026-05-26,1,1702,1702
North Indian,2026-05-27,2,3032,1516
North Indian,2026-05-28,2,2022,1011
North Indian,2026-05-30,1,2496,2496
North Indian,2026-06-01,1,1527,1527
North Indian,2026-06-02,1,1281,1281
North Indian,2026-06-04,1,1895,1895
North Indian,2026-06-05,2,3429,1714.5
North Indian,2026-06-06,1,2316,2316
North Indian,2026-06-07,1,1595,1595
North Indian,2026-06-10,1,1960,1960
North Indian,2026-06-11,1,1520,1520
North Indian,2026-06-15,2,3363,1681.5
North Indian,2026-06-16,2,2835,1417.5
North Indian,2026-06-22,2,2933,1466.5
North Indian,2026-06-23,1,710,710
North Indian,2026-06-24,1,2462,2462
North Indian,2026-06-25,2,2458,1229
North Indian,2026-06-26,2,3706,1853
North Indian,2026-06-28,2,2777,1388.5
North Indian,2026-06-29,3,3650,1216.666667
North Indian,2026-06-30,1,715,715
South Indian,2026-01-13,1,2364,2364
South Indian,2026-01-14,1,787,787
South Indian,2026-01-19,1,188,188
South Indian,2026-02-05,1,767,767
South Indian,2026-02-08,1,1951,1951
South Indian,2026-02-09,1,1395,1395
South Indian,2026-02-17,1,725,725
South Indian,2026-02-18,1,802,802
South Indian,2026-02-23,1,1014,1014
South Indian,2026-02-24,1,2194,2194
South Indian,2026-02-26,1,1843,1843
South Indian,2026-02-28,1,1063,1063
South Indian,2026-03-02,1,1421,1421
South Indian,2026-03-03,3,3438,1146
South Indian,2026-03-10,1,160,160
South Indian,2026-03-11,1,1964,1964
South Indian,2026-03-19,1,2026,2026
South Indian,2026-03-21,1,2261,2261
South Indian,2026-03-28,1,1587,1587
South Indian,2026-03-30,1,1961,1961
South Indian,2026-04-12,1,2110,2110
South Indian,2026-04-16,1,1502,1502
South Indian,2026-04-18,1,2465,2465
South Indian,2026-04-22,1,553,553
South Indian,2026-04-23,1,558,558
South Indian,2026-04-24,1,2217,2217
South Indian,2026-04-25,1,377,377
South Indian,2026-04-27,1,760,760
South Indian,2026-05-02,1,1711,1711
South Indian,2026-05-09,1,840,840
South Indian,2026-05-10,1,2419,2419
South Indian,2026-05-15,1,1627,1627
South Indian,2026-05-18,1,930,930
South Indian,2026-05-28,2,2603,1301.5
South Indian,2026-06-05,1,964,964
South Indian,2026-06-07,1,2226,2226
South Indian,2026-06-16,2,2547,1273.5
South Indian,2026-06-18,1,1915,1915
South Indian,2026-06-19,2,1678,839
South Indian,2026-06-20,1,1822,1822
South Indian,2026-06-26,1,259,259
South Indian,2026-06-30,1,1423,1423
